customer_id,tenure_months,monthly_charges,total_charges,contract_type,tech_support,city,signup_date,region_code,satisfaction,notes,churned
CUS000000,68,$67.22,4570.96,Month-to-month, Yes ,City_55,2021-06-08,APAC,1.0,free text note number 0 about this particular customer,1
CUS000001,45,$81.51,3667.95,Month-to-month,No,City_61,2021-03-11,APAC,4.0,free text note number 1 about this particular customer,1
CUS000002,49,$88.60,4341.4,Two year, Yes ,City_27,2023-02-03,APAC,4.0,free text note number 2 about this particular customer,1
CUS000003,64,$59.07,3780.48,Two year,Yes,City_15,2020-05-08,APAC,4.0,free text note number 3 about this particular customer,0
CUS000004,42,$77.68,3262.56,Month-to-month,Yes,City_24,2020-05-01,APAC,3.0,free text note number 4 about this particular customer,1
CUS000005,56,$63.05,inf,Month-to-month,Yes,City_56,2021-06-25,APAC,5.0,free text note number 5 about this particular customer,1
CUS000006,60,$73.01,4380.6,Month-to-month,No,City_35,2020-07-04,APAC,4.0,free text note number 6 about this particular customer,1
CUS000007,16,$66.70,1067.2,Two year,No,City_60,2021-05-24,APAC,3.0,free text note number 7 about this particular customer,1
CUS000008,4,$41.46,165.84,Month-to-month,no,City_12,2023-04-04,APAC,2.0,free text note number 8 about this particular customer,1
CUS000009,22,$69.47,1528.34,One year,No,City_8,2021-11-18,APAC,1.0,free text note number 9 about this particular customer,1
CUS000010,21,$91.93,1930.53,Month-to-month,No,City_49,2022-10-01,APAC,4.0,free text note number 10 about this particular customer,1
CUS000011,63,$45.82,2886.66,Month-to-month,No,City_45,2022-09-13,APAC,3.0,free text note number 11 about this particular customer,1
CUS000012,65,$63.97,4158.05,Month-to-month,No,City_46,2022-03-30,APAC,5.0,free text note number 12 about this particular customer,1
CUS000013,1,$86.62,86.62,One year,No,City_47,2023-10-24,APAC,3.0,free text note number 13 about this particular customer,1
CUS000014,36,$43.25,1557.0,Month-to-month,No,City_53,2022-09-09,APAC,3.0,free text note number 14 about this particular customer,1
CUS000015,59,$74.57,4399.63,Two year,No,City_77,2023-05-11,APAC,5.0,free text note number 15 about this particular customer,0
CUS000016,10,$43.50,435.0,One year,no,City_25,2023-11-23,APAC,3.0,free text note number 16 about this particular customer,1
CUS000017,57,$98.37,5607.09,Month-to-month, Yes ,City_23,2022-05-10,APAC,,free text note number 17 about this particular customer,1
CUS000018,9,$127.82,1150.38,Month-to-month,No,City_20,2021-03-27,APAC,4.0,free text note number 18 about this particular customer,1
CUS000019,34,$120.56,4099.04,One year,Yes,City_36,2021-06-26,APAC,,free text note number 19 about this particular customer,1
CUS000020,58,$64.52,3742.16,One year,no,City_39,2020-01-13,APAC,2.0,free text note number 20 about this particular customer,0
CUS000021,22,$88.50,1947.0,N/A,No,City_74,2020-09-12,APAC,1.0,free text note number 21 about this particular customer,1
CUS000022,25,$73.02,1825.5,Month-to-month, Yes ,City_13,2020-12-19,APAC,1.0,free text note number 22 about this particular customer,1
CUS000023,20,$72.55,1451.0,Month-to-month,no,City_10,2022-06-05,APAC,5.0,free text note number 23 about this particular customer,1
CUS000024,52,$108.69,5651.88,Two year,No,City_65,2020-05-01,APAC,3.0,free text note number 24 about this particular customer,1
CUS000025,19,$37.02,703.38,Month-to-month,no,City_71,2020-04-05,APAC,4.0,free text note number 25 about this particular customer,1
CUS000026,71,$96.38,6842.98,Two year,No,City_3,2020-06-16,APAC,4.0,free text note number 26 about this particular customer,0
CUS000027,32,$68.78,2200.96,One year,no,City_29,2020-03-21,APAC,,free text note number 27 about this particular customer,0
CUS000028,34,$105.21,3577.14,One year,no,City_45,2023-08-03,APAC,5.0,free text note number 28 about this particular customer,1
CUS000029,36,$74.68,2688.48,Month-to-month,No,City_27,2022-08-21,APAC,3.0,free text note number 29 about this particular customer,1
CUS000030,42,$53.18,2233.56,One year, Yes ,City_12,2022-07-21,APAC,2.0,free text note number 30 about this particular customer,0
CUS000031,40,$76.93,3077.2,Month-to-month,No,City_79,2020-09-03,APAC,3.0,free text note number 31 about this particular customer,1
CUS000032,37,$88.40,3270.8,One year,No,City_10,2022-03-30,APAC,3.0,free text note number 32 about this particular customer,0
CUS000033,71,$70.89,5033.19,Month-to-month,No,City_31,2023-06-26,APAC,3.0,free text note number 33 about this particular customer,1
CUS000034,58,$82.20,4767.6,Month-to-month,No,City_50,2021-03-03,APAC,4.0,free text note number 34 about this particular customer,1
CUS000035,57,$56.96,,Two year,no,City_19,2022-10-01,APAC,5.0,free text note number 35 about this particular customer,0
CUS000036,50,$16.65,832.5,Month-to-month,No,City_58,2021-11-26,APAC,5.0,free text note number 36 about this particular customer,1
CUS000037,45,$92.50,4162.5,Two year,no,City_16,2022-02-25,APAC,2.0,free text note number 37 about this particular customer,0
CUS000038,25,$87.48,2187.0,Two year,no,City_76,2022-11-09,APAC,2.0,free text note number 38 about this particular customer,1
CUS000039,71,$73.70,5232.7,One year,No,City_55,2023-11-05,APAC,4.0,free text note number 39 about this particular customer,0
CUS000040,34,$71.71,2438.14,Month-to-month, Yes ,City_77,2021-07-31,APAC,4.0,free text note number 40 about this particular customer,1
CUS000041,16,$95.91,1534.56,One year,no,City_50,2020-07-16,APAC,5.0,free text note number 41 about this particular customer,1
