listing_id,area_sqft,bedrooms,age_years,location,lot_size,price
0,3114.4,1,38,Suburb,8119.8,634692.26
1,1586.1,3,50,Downtown,,379901.48
2,1435.8,6,65,Suburb,,264320.73
3,2207.8,6,22,Suburb,4397.4,472243.58
4,1495.6,6,77,Downtown,2668.5,385374.61
5,1894.2,2,33,Downtown,3010.7,428954.3
6,426.1,4,38,Downtown,744.5,202052.05
7,1956.9,1,23,Suburb,2856.1,437367.79
8,1766.4,6,36,Downtown,5131.3,471223.66
9,1003.9,3,73,Downtown,2328.8,294851.51
10,2592.0,6,29,Suburb,7564.5,559165.36
11,1634.8,5,41,Downtown,2370.8,386426.63
12,1660.4,4,75,Downtown,3865.2,409387.58
13,989.5,2,12,Suburb,1983.1,199449.93
14,802.6,5,10,Downtown,2280.1,310033.11
15,1436.8,5,9,Suburb,1771.8,356624.99
16,864.1,6,14,Suburb,1978.7,219073.94
17,2071.8,6,61,Suburb,4441.1,398186.53
18,2298.9,4,35,Rural,2984.7,423294.88
19,1396.6,2,74,Downtown,2866.8,307983.97
20,812.0,3,30,Downtown,1396.8,280487.42
21,1540.9,3,18,Suburb,2662.2,327348.2
22,1141.0,5,34,Rural,1454.3,286149.37
23,1877.1,6,45,Suburb,5049.0,422061.13
24,1884.8,1,77,Suburb,2923.7,292298.22
25,1521.1,4,38,Suburb,,298606.57
26,1820.7,1,44,Downtown,2639.6,390888.46
27,2401.0,5,35,Suburb,,474534.52
28,2798.7,3,43,Suburb,8206.7,527016.25
29,1463.3,2,55,Rural,3032.4,258146.38
30,2209.6,5,69,Suburb,6065.5,431512.91
31,1633.6,5,64,Suburb,2720.3,352360.92
32,1141.8,5,9,Downtown,1657.2,326772.21
33,2545.0,6,65,Suburb,6432.0,476130.04
34,2011.5,6,70,Downtown,4472.2,420599.38
35,1860.2,5,17,Suburb,5085.6,358382.49
36,1988.5,2,71,Downtown,4361.4,394270.97
37,1678.1,6,48,Suburb,4991.9,361584.73
38,1143.9,3,36,Downtown,2241.2,292754.02
39,2840.8,3,12,Suburb,5491.2,565586.93
40,2315.2,2,35,Downtown,5975.3,555368.6
41,1933.4,4,14,Rural,5777.8,351792.01
42,2354.6,3,6,Suburb,4209.7,475836.84
43,2546.7,5,27,Suburb,4191.8,509400.79
44,1655.5,3,54,Suburb,4411.6,288947.73
45,2127.5,5,45,Suburb,3655.6,469335.32
46,1580.7,5,28,Suburb,2342.2,347462.68
47,2161.9,4,39,Suburb,4787.2,466175.18
48,1622.7,5,66,Suburb,2810.0,290183.44
49,3235.6,1,3,Suburb,4505.9,673339.58
50,1560.9,2,28,Suburb,3616.4,372314.2
51,2084.6,2,39,Suburb,3976.4,368874.96
52,2053.0,1,50,Rural,2850.0,335417.92
53,1574.3,3,13,Suburb,2762.4,333228.3
54,2336.8,6,35,Downtown,4559.9,565981.41
55,1725.0,5,13,Rural,2523.9,321606.05
56,1527.9,3,34,Downtown,,382753.95
57,1776.0,6,69,Rural,2288.5,349171.05
58,1324.6,2,68,Rural,2594.9,183686.92
59,2493.0,6,51,Suburb,4401.1,440700.57
60,2150.1,3,21,Suburb,6126.0,414351.81
61,2364.2,3,19,Downtown,3360.6,522689.23
62,964.5,1,31,Suburb,1290.5,208417.12
63,1937.5,6,61,Suburb,3461.6,377829.48
64,1313.8,4,70,Downtown,3842.6,278598.05
65,1826.9,3,78,Suburb,3765.1,341247.32
66,2539.4,4,76,Suburb,7040.5,476421.58
67,1929.2,2,68,Suburb,2462.3,359954.7
68,1669.7,6,55,Suburb,4374.6,353710.81
69,2447.0,6,11,Suburb,6073.9,561532.58
70,2381.5,6,9,Suburb,7043.2,536311.49
71,2884.0,1,52,Suburb,4420.1,463732.29
72,658.7,4,70,Suburb,923.7,138544.18
73,1971.5,3,32,Rural,5826.7,383132.52
74,1525.2,3,5,Rural,4395.8,306502.12
75,1250.4,5,35,Rural,2658.0,293926.73
76,1844.2,6,69,Downtown,,418555.47
77,1077.6,4,14,Downtown,2888.1,338374.03
78,435.1,4,72,Downtown,,116557.71
